Tube,Line,Sex,ID,Species,sppLevel1,sppLevel2,sppLevel3,sppLev4,Day.frozen,New.Vial.number.for.Metabolomics,Use,Raftery
123,Sec-28,females,Sec28.F,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,55,1,35
121,Sec-28,males,Sec28.M,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,67,1,36
80,Ana-15,males,Ana15.M,ananassae,NA,NA,NA,an.er.ya.se.si.me,1,68,1,37
48,Sim-287,males,Sim287.M,simulans,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,1,59,1,38
124,Sec-28,females,Sec28.F,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,72,1,39
103,Wil-02,males,Wil02.M,willistoni,NA,NA,NA,NA,2,66,1,40
203,Ana-12,males,Ana12.M,ananassae,NA,NA,NA,an.er.ya.se.si.me,2,54,1,43
149,Per-23,females,Per23.F,persimilis,pers.pseud,NA,NA,NA,2,35,1,44
15,Wil-15,females,Wil15.F,willistoni,NA,NA,NA,NA,1,5,1,45
116,Sim-006,males,Sim006.M,simulans,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,57,1,46
36,Vir-08,females,Vir08.F,virilis,NA,mojav.viril,NA,NA,1,33,1,47
131,Sec-07,females,Sec07.F,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,48,1,48
56,Sim-006,females,Sim006.F,simulans,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,1,43,1,49
183,Mel-56,females,Mel56.F,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,14,1,50
76,MJCI-2008,females,Moj2008.F,mojavensis,NA,mojav.viril,NA,NA,1,36,1,51
155,Per-17,females,Per17.F,persimilis,pers.pseud,NA,NA,NA,2,4,1,52
120,Sec-28,males,Sec28.M,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,17,1,53
23,Wil-02,females,Wil02.F,willistoni,NA,NA,NA,NA,1,31,1,54
14,Wil-15,females,Wil15.F,willistoni,NA,NA,NA,NA,1,3,1,55
45,Vir-00,females,Vir00.F,virilis,NA,mojav.viril,NA,NA,1,22,1,56
144,Pse-33,females,Pse33.F,pseudoobscura,pers.pseud,NA,NA,NA,2,96,1,57
100,Wil-03,males,Wil03.M,willistoni,NA,NA,NA,NA,2,71,1,58
114,Sim-286,females,Sim286.F,simulans,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,91,1,59
133,Sec-07,females,Sec07.F,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,7,1,60
185,Mel-56,females,Mel56.F,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,29,1,61
190,Mel-14,females,Mel14.F,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,73,1,62
24,Wil-02,females,Wil02.F,willistoni,NA,NA,NA,NA,1,85,1,63
200,Ere-00,females,Ere00.F,erecta,NA,erec.yak,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,95,1,64
212,Sec-31,females,Sec31.F,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,3,86,1,65
65,Pse-217,females,Pse217.F,pseudoobscura,pers.pseud,NA,NA,NA,1,69,1,66
137,Pse-96,males,Pse96.M,pseudoobscura,pers.pseud,NA,NA,NA,2,80,1,67
150,Per-17,males,Per17.M,persimilis,pers.pseud,NA,NA,NA,2,82,1,68
64,Pse-217,females,Pse217.F,pseudoobscura,pers.pseud,NA,NA,NA,1,53,1,69
201,Ana-12,males,Ana12.M,ananassae,NA,NA,NA,an.er.ya.se.si.me,2,92,1,70
153,Per-17,males,Per17.M,persimilis,pers.pseud,NA,NA,NA,2,77,1,71
5,Yak-00,females,Yak00.F,yakuba,NA,erec.yak,er.yak.sec.sim.mel,an.er.ya.se.si.me,1,60,1,72
167,MJCI-1002,males,Moj1002.M,mojavensis,NA,mojav.viril,NA,NA,2,51,1,73
97,Ana-00,females,Ana00.F,ananassae,NA,NA,NA,an.er.ya.se.si.me,1,65,1,74
178,Mel-61,females,Mel61.F,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,75,1,75
98,Ana-00,females,Ana00.F,ananassae,NA,NA,NA,an.er.ya.se.si.me,1,52,1,76
91,Ana-12,females,Ana12.F,ananassae,NA,NA,NA,an.er.ya.se.si.me,1,58,1,77
38,Vir-08,females,Vir08.F,virilis,NA,mojav.viril,NA,NA,1,83,1,78
43,Vir-00,females,Vir00.F,virilis,NA,mojav.viril,NA,NA,1,70,1,79
179,Mel-56,males,Mel56.M,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,79,1,80
31,Vir-08,males,Vir08.M,virilis,NA,mojav.viril,NA,NA,1,63,1,81
207,Vir-48,females,Vir48.F,virilis,NA,mojav.viril,NA,NA,3,98,1,82
164,MJCI-1002,males,Moj1002.M,mojavensis,NA,mojav.viril,NA,NA,2,64,1,83
223,Mel-14,males,Mel14.M,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,3,61,1,84
130,Sec-07,males,Sec07.M,sechellia,sech.sim,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,81,1,85
40,Vir-00,males,Vir00.M,virilis,NA,mojav.viril,NA,NA,1,93,1,86
180,Mel-56,males,Mel56.M,melanogaster,NA,mel.sech.sim,er.yak.sec.sim.mel,an.er.ya.se.si.me,2,50,1,87
