Mass,Retention Time,Frequency
732.2638,8.114631,108
232.0678,3.5419996,108
470.1288,1.9820834,108
432.0367,3.5404072,108
188.077,2.376269,108
486.158,3.925787,108
557.4122,1.7045745,108
671.4215,1.5077963,108
499.3396,1.5190188,107
484.8982,3.2853644,107
165.1002,1.776729,107
644.2571,1.5829062,107
324.1085,2.2817388,107
693.9013,3.2301404,107
811.4958,2.5016317,106
809.575,1.3772075,106
253.1481,1.7171137,106
407.0838,4.04133,106
319.1445,1.4865756,106
566.8987,3.2551882,106
229.1787,5.1340938,106
643.4191,1.4860002,106
369.2802,2.4123962,106
446.2549,1.5452362,106
209.1161,3.760104,106
210.1056,2.3872356,106
245.1536,6.566037,106
368.025,5.590162,106
559.3037,4.6591125,106
495.33,2.3984096,105
821.7587,3.2914762,105
356.2287,6.3784304,105
273.2618,1.3716477,105
284.1125,6.4385214,105
953.0371,3.0103333,105
287.0718,3.4130192,105
773.5266,5.4132895,104
549.6205,1.2247022,104
439.2818,1.5065576,104
284.0811,5.3374324,104
504.2939,1.5079519,104
567.2887,2.5433846,104
623.0597,3.5739517,104
172.1234,3.462866,104
613.3887,1.5163077,104
146.0997,1.740827,104
363.1667,1.5001833,104
414.2,1.508808,104
316.1317,1.8367381,103
621.2921,1.5291846,103
862.4223,1.4134563,103
766.3618,1.6690099,103
230.1149,1.7576504,103
119.9591,5.073369,103
664.8738,3.2595732,103
495.2656,1.6926893,103
369.0456,4.137145,103
122.0475,1.7926698,103
238.1427,1.9214371,103
174.1017,1.5206509,103
326.0381,3.0002627,103
505.1723,1.9971168,103
908.2418,2.542136,103
641.3416,2.0574472,103
719.9918,3.012864,103
507.2937,1.6548834,103
324.1065,3.0087187,103
399.3334,3.7754164,103
511.1579,2.0897577,103
787.5403,1.4485338,103
239.1343,1.6097472,103
218.0786,1.4815922,103
670.8323,3.313283,102
961.6632,1.404902,102
556.8585,3.265607,102
680.2669,2.2101173,102
590.2562,1.8219116,102
687.4836,1.9120001,102
222.0827,1.4223726,102
338.0383,3.052412,102
876.8023,3.2829509,102
242.0148,3.6054802,102
209.1524,1.6439414,102
397.22,1.8618823,102
142.0715,2.69547,102
141.0902,5.183168,101
592.1472,2.1920302,101
349.2217,7.1176615,101
375.075,7.0951476,101
704.5066,2.1028116,101
947.6568,1.4010398,101
408.0407,2.967287,101
844.3629,2.0014753,101
328.0063,5.5975137,101
302.0003,3.1858513,101
224.023,2.9811485,101
506.3919,1.3340298,101
385.2401,1.7241688,101
153.0773,2.56499,101
651.5101,3.0124452,101
408.0031,5.6042194,101
278.1511,1.3960793,101
676.1815,2.4872272,101
611.0142,3.0232677,101
903.627,1.4260299,101
322.1547,2.5133166,101
379.1318,1.93867,100
451.2464,1.5473198,100
274.1349,1.80518,100
536.1668,1.9640701,100
166.0118,3.5304198,100
281.0341,8.170501,100
465.2795,2.48223,100
615.4408,1.6056901,100
119.0704,2.35028,100
675.3218,2.2235694,100
815.3984,1.6412728,99
905.8291,3.2821417,99
517.3285,1.875545,99
557.3757,1.5119901,99
379.2255,1.5080099,99
905.0591,3.6136055,99
844.0557,3.0229998,99
451.2623,2.0458386,99
348.0476,2.543333,99
134.0889,1.6498585,99
839.4082,1.6593639,99
148.9837,3.198465,99
708.2553,2.2911613,99
567.2887,1.5207878,99
815.0365,3.019767,99
345.1746,1.7754043,99
888.3941,2.0399392,99
204.1467,7.302636,99
419.2429,1.6081617,99
520.0487,3.573212,99
534.4109,1.329616,99
825.2306,3.0966532,98
697.3567,1.6239185,98
653.6061,4.346867,98
104.1039,3.0017662,98
435.1953,1.5807039,98
720.4984,2.821163,98
523.2846,2.011184,98
340.3445,1.3547755,98
361.1863,2.6945,98
610.5095,3.0157154,98
635.2623,2.4222245,98
584.0469,3.0190413,98
623.6083,2.7064486,98
481.8272,3.36837,97
720.5007,1.3059381,97
186.0886,1.7161958,97
603.7423,3.3332686,97
495.8839,3.2197528,97
365.2118,1.4927524,97
204.2365,5.425309,97
810.2635,3.8324018,97
352.1508,8.388383,97
257.1033,6.4039903,97
489.0945,3.078958,97
115.0635,6.059267,97
380.1017,4.6293817,97
868.2661,2.2964685,96
220.9941,5.7198462,96
720.4985,5.9358964,96
539.9382,3.291251,96
663.1029,6.2245736,96
271.8602,3.3733857,96
253.0822,1.95974,96
700.4019,5.9188952,96
568.3855,1.351396,96
178.106,1.6804999,96
417.1999,2.4357297,96
767.4712,3.3986146,96
541.3453,1.5704527,95
467.2757,1.5155579,95
622.6095,2.8196843,95
472.2477,1.5994424,95
228.1468,3.8655682,95
781.5468,1.9907892,95
516.4114,2.8575058,95
159.1734,3.0647898,95
629.073,3.8675675,95
200.0896,2.7241473,95
457.2817,1.5987262,95
128.0948,7.487936,95
255.9733,3.272464,95
