Mass,Retention Time,Frequency
519.0763,5.9592385,118
247.069,6.0468984,118
102.0314,4.2322545,118
272.0766,4.170788,118
418.2322,1.4388716,117
537.2587,1.590043,117
405.1118,2.3938034,117
830.2276,3.4062312,117
827.0718,3.5533428,117
380.0108,5.679146,117
486.0549,5.6902046,117
342.0235,5.8746166,117
334.0663,2.9492056,117
817.583,1.5089569,116
430.1317,2.4461546,116
1003.055,3.5042593,116
142.2983,3.5157075,116
180.0627,4.2928195,116
541.0619,6.097475,116
329.0345,8.175812,116
179.0454,2.0372844,116
608.064,1.2865657,115
822.2043,1.313696,115
762.1813,1.3194261,115
444.253,1.3613044,115
282.7615,1.3778954,115
875.2096,1.4885827,115
658.4489,1.4899564,115
747.1852,1.4938873,115
223.0526,2.2310956,115
467.1304,2.3506093,115
171.0494,3.6393824,115
134.0206,5.5625815,115
159.1268,5.9316874,115
394.052,5.9734526,115
663.1099,6.0982366,115
246.0807,4.4352007,115
464.0182,3.6303823,115
340.332,1.3566958,115
1042.7426,1.226833,114
620.1479,1.3285264,114
422.2341,1.3332279,114
327.2042,1.592614,114
356.1176,1.6343687,114
216.0026,1.6787628,114
523.2918,2.1412544,114
635.2595,2.6391127,114
493.0614,4.1317635,114
309.1069,2.0601058,114
291.0936,2.9072547,114
382.0156,3.647693,114
119.0577,4.341236,114
350.2139,1.394386,114
1018.2455,1.2898675,113
928.3504,1.2997168,113
1020.3867,1.3016819,113
956.3716,1.3066812,113
376.2274,1.3892831,113
939.2217,1.4878318,113
113.0245,1.8088759,113
488.1395,2.325858,113
562.0123,4.0863104,113
230.0884,6.220371,113
158.0225,2.1859908,113
231.0468,5.016833,113
336.2278,1.4042127,113
300.0127,3.677106,113
1003.2435,1.2804736,112
670.1563,1.4471339,112
216.1713,1.5028392,112
867.5455,2.0986161,112
226.1937,2.0354736,112
146.0228,2.2783933,112
566.1931,2.4242682,112
115.0264,2.4207053,112
507.1887,2.4934285,112
448.0359,3.6016877,112
269.1064,4.2296877,112
87.0334,1.9830542,112
923.4847,2.4615445,112
85.0167,3.0377057,112
156.0083,5.653874,112
864.3389,1.3002597,112
122.0374,1.1502165,111
480.0411,1.308468,111
115.0263,1.5874144,111
461.1738,4.3755856,111
334.0657,4.3688474,111
152.0458,1.9547474,111
191.0272,2.0397925,111
167.9817,6.0015144,111
197.0643,4.1322074,111
206.1664,1.3757206,111
128.0084,1.188582,110
466.0502,1.3235363,110
320.1665,1.3395813,110
234.0502,1.4793003,110
687.484,2.0857184,110
355.1136,2.165218,110
150.0533,2.201982,110
125.0143,3.3208544,110
761.0843,6.0978656,110
426.2766,1.5470091,110
172.109,1.5656726,110
613.3228,2.193091,110
585.3076,1.2921557,109
490.2771,1.3120183,109
629.1832,2.4149454,109
538.1727,2.5262942,109
607.0799,2.6243124,109
85.0167,3.2852292,109
729.8852,3.895624,109
157.9976,5.1565685,109
290.0409,5.9105234,109
270.0946,3.2963395,109
115.1537,4.213963,109
812.1932,1.2971665,108
254.7037,1.395815,108
482.4336,1.3993146,108
127.9116,1.4113797,108
308.0882,1.4658982,108
715.5153,2.0846758,108
284.1084,2.1558886,108
657.3478,2.1629534,108
440.0859,2.399796,108
525.2837,1.3228793,108
218.01,1.507852,108
246.0126,1.6581945,108
646.483,1.2757757,107
514.3454,1.3957105,107
555.3506,2.6142433,107
176.0787,5.351366,107
113.0484,5.9318314,107
212.09,6.59475,107
284.0349,3.635131,107
777.5108,1.4951587,107
157.0343,5.192561,107
326.0853,5.329944,107
999.2233,1.3936538,107
964.428,1.3500755,106
1040.226,1.62133,106
278.1271,1.7782363,106
310.0922,2.1583304,106
423.2396,2.1994336,106
391.1462,2.2060091,106
402.1361,2.432208,106
783.2991,3.2875376,106
216.0516,4.161753,106
395.0856,4.1688676,106
1056.3793,1.2985237,105
572.1238,1.3685812,105
334.2346,1.416143,105
280.2386,1.7430385,105
211.0795,2.2052763,105
546.2052,2.3999715,105
175.321,2.421972,105
473.2099,2.533239,105
633.9713,4.0758195,105
748.2228,4.3530593,105
247.0475,5.469048,105
244.104,6.314219,105
205.0382,6.061942,105
344.1081,4.5436096,105
131.0592,5.326782,105
237.0869,2.1864479,105
926.2139,1.2992694,104
698.168,1.3249711,104
737.4976,1.4320769,104
841.5804,1.4978079,104
288.01,1.5032305,104
318.2301,1.6144518,104
280.0424,1.8011538,104
88.0152,1.8070959,104
711.4828,2.0876925,104
157.0359,2.4226923,104
213.1629,4.083923,104
209.9915,1.6660292,104
205.0362,3.204366,104
205.037,6.2775106,104
281.1114,4.5392303,104
828.3519,1.3104371,103
748.1815,1.3062718,103
290.1996,1.6097473,103
460.1435,2.3478835,103
418.1333,2.3678546,103
456.1098,2.3687575,103
685.2408,2.5753112,103
102.0328,3.347563,103
467.0452,4.133253,103
729.2182,4.3538146,103
990.3272,5.6437483,103
155.2158,7.645621,103
1060.377,1.327797,103
298.2479,1.4119222,103
310.2115,1.4204705,102
570.2809,2.1007938,102
226.0701,2.1807847,102
136.0362,2.5065978,102
153.0908,3.3728333,102
339.973,3.8608139,102
187.0238,4.089245,102
431.2137,6.3975673,102
272.0887,6.445009,102
247.0367,5.2671766,102
318.0276,5.307482,102
240.1352,1.4326077,102
256.1016,4.226197,102
1068.4471,1.3511091,101
113.9929,1.9081981,101
262.0669,2.2065346,101
432.1497,2.355485,101
146.3195,4.799454,101
159.9965,5.147872,101
268.0809,3.2830198,101
196.0577,4.718763,101
131.0585,6.4508615,101
1084.398,1.2989202,100
696.4624,1.4027096,100
428.0941,1.5153096,100
197.02,1.7968705,100
577.3361,2.6739597,100
303.5402,4.5181017,100
197.0777,5.3317814,100
316.0874,5.5661507,100
363.0572,5.8916917,100
255.3643,1.3943706,100
850.2027,1.2499801,99
900.422,1.3520708,99
244.2024,1.4716966,99
793.5423,1.5846462,99
282.2573,2.034626,99
286.0579,2.1843634,99
693.231,2.6156564,99
158.2256,3.9370804,99
1039.7928,3.9718578,99
63.9985,5.4368687,99
600.4058,1.5015154,99
240.217,2.2037773,99
297.141,3.054313,99
174.0241,3.704657,99
484.3225,1.5319902,99
935.2103,1.3923838,99
1072.2823,1.2883677,98
992.3646,1.2989388,98
769.4894,1.4472955,98
286.0392,1.4535711,98
598.3142,1.4801533,98
283.1027,1.7411426,98
240.0003,3.8454182,98
388.1213,5.115429,98
265.1162,5.6963983,98
254.6673,1.3956226,98
628.4358,1.3443811,97
282.5571,1.3798656,97
500.1421,1.5144534,97
258.0869,1.543619,97
194.0438,2.3785362,97
751.2372,3.3210924,97
909.0745,3.541237,97
774.886,4.0055785,97
412.0033,4.1027007,97
125.0139,4.508072,97
261.0337,5.399947,97
229.053,5.5799384,97
666.2201,5.6791635,97
116.0102,2.4745667,97
129.1409,1.9874016,97
300.104,5.0384955,97
658.2204,1.3258854,96
882.3508,1.3313335,96
385.9417,1.449635,96
533.2747,2.1390414,96
448.144,2.3782089,96
540.144,2.6084793,96
871.1971,1.389698,96
146.0207,3.2108443,96
269.109,4.271595,96
89.1283,5.2974677,96
249.0626,1.8585318,96
943.8136,3.974104,96
978.2271,1.2425368,95
213.988,1.2982949,95
161.0454,1.8249581,95
479.7594,2.1514635,95
455.1478,2.192242,95
427.1328,2.3826737,95
517.1648,2.4264843,95
311.1558,2.6511898,95
898.8773,4.00779,95
217.0357,4.091084,95
609.2109,4.3714542,95
125.0147,3.692095,95
255.0221,1.7357473,95
710.1849,3.404074,95
218.0101,1.2260959,94
590.065,1.2838619,94
560.4779,1.3808725,94
86.036,1.6884683,94
495.2614,2.158596,94
471.1576,2.6485848,94
466.1554,5.4670305,94
218.0878,6.0927987,94
118.0626,2.072223,94
167.057,2.0416167,94
306.0268,3.5058928,94
366.038,3.6165745,94
160.0833,5.508468,94
142.024,1.5251491,94
134.0214,6.3221793,94
322.0035,3.8042352,94
456.0205,3.6294675,94
990.2199,1.2904298,93
256.2398,1.388892,93
226.1905,1.7823334,93
254.2259,2.0364192,93
102.0331,2.3054519,93
720.2062,2.4403007,93
638.19,2.6395478,93
456.0193,3.4945061,93
581.3681,4.97486,93
334.0785,5.5332255,93
260.1665,5.9413667,93
116.0111,5.5547853,93
134.0201,5.9102154,93
326.1324,4.786656,93
200.076,3.7280536,93
736.3045,1.3079127,92
438.1246,1.3617828,92
172.1454,1.4511849,92
515.107,1.4652282,92
256.2379,1.7471526,92
465.2884,2.1648264,92
336.0585,2.200195,92
324.1074,2.1762393,92
684.2314,2.3965545,92
256.2384,2.470326,92
143.1294,3.5135987,92
269.9542,3.941326,92
659.9888,4.074478,92
309.1054,6.260466,92
282.2559,1.3814241,92
216.0374,3.2058375,92
372.3347,1.3530219,92
431.1625,3.7337496,92
420.2449,1.4029014,91
360.2513,1.4053847,91
743.5463,1.4246376,91
392.2177,1.4267364,91
383.2664,1.5559448,91
509.2291,1.6205275,91
528.088,3.6591532,91
493.0445,3.666538,91
315.2046,1.5702748,91
70.0046,1.9365273,91
228.05,4.197604,91
185.9925,6.0775604,91
188.1056,1.8828571,91
530.0421,3.6039684,91
833.2905,1.3068997,90
722.2283,1.3210661,90
254.5932,1.3953891,90
404.2326,1.5693778,90
745.2106,1.9577223,90
237.0863,2.0842886,90
451.7122,2.173522,90
434.2875,2.317178,90
342.1159,2.377366,90
113.9929,2.8884773,90
756.2537,3.3286223,90
384.9763,4.042467,90
167.0423,5.671967,90
259.1885,6.411701,90
88.0175,1.853355,90
369.1742,4.8688326,90
566.3555,1.337144,90
369.0705,4.1694665,90
818.1978,1.2524495,89
568.4335,1.3249665,89
587.4967,1.3743033,89
303.0747,2.194753,89
446.08,3.666618,89
255.0411,4.698618,89
553.3372,5.0328517,89
507.1616,5.375866,89
85.0165,5.436123,89
228.2077,2.5348763,89
244.0705,1.8783036,89
451.2703,2.1711233,89
339.011,5.4543476,89
596.4664,1.3181138,88
594.2809,2.1006253,88
958.6039,2.147307,88
592.1452,2.331023,88
465.1488,2.3614886,88
166.049,2.5499315,88
594.2016,1.3343066,88
122.0379,1.9394435,88
219.0133,6.24783,88
634.1545,1.3305228,88
388.0327,3.5095673,88
798.1886,1.3150222,87
570.4481,1.3257011,87
1003.2345,1.4765168,87
542.3645,1.5139078,87
278.2223,1.7435634,87
244.0661,1.8435975,87
713.4984,2.0861263,87
250.0308,2.3099432,87
388.124,2.4143105,87
207.0512,2.4451954,87
846.2842,2.5283332,87
366.0337,3.6084483,87
185.0347,4.3024135,87
289.0011,4.4414134,87
278.1226,4.786862,87
332.1204,8.165229,87
431.1624,4.2848635,87
636.1347,1.3572677,86
228.2065,1.7974653,86
460.304,2.1642559,86
657.0502,3.651384,86
270.0965,4.482641,86
910.2769,5.010523,86
345.1083,5.3632565,86
97.9672,3.2197561,86
62.9962,4.732244,86
419.981,3.8179538,86
418.2029,1.3256471,85
306.0192,1.6677178,85
428.1287,1.8374237,85
772.2018,1.8809413,85
307.0643,1.893224,85
183.0383,1.9981055,85
504.1674,2.6359413,85
402.1369,3.5581524,85
285.1045,4.3318706,85
593.2152,5.2885995,85
74.0367,2.889541,85
165.0455,5.5990705,85
443.248,1.481106,85
719.4684,1.4992238,85
162.0177,1.6779058,85
329.1125,2.809482,85
371.146,4.541329,85
488.184,4.6448226,85
413.1655,4.589859,85
786.2419,1.3138698,84
456.4237,1.3276545,84
1024.3936,1.3243093,84
996.3647,1.3285838,84
282.722,1.3774046,84
222.0672,1.8366311,84
199.0798,3.4045467,84
352.0731,5.3790007,84
259.0454,5.3395247,84
133.0372,5.9896674,84
276.1314,6.6152744,84
806.4979,1.3928331,84
162.1611,2.1984642,84
530.431,1.3964167,84
114.0845,1.4703809,84
187.9931,1.6200476,84
128.0077,3.6381664,84
105.042,4.4690485,84
261.0335,5.575405,84
765.5125,1.5999639,84
267.0981,2.1520717,84
482.9542,4.0315237,84
270.2237,1.438976,84
113.9929,1.0632651,83
310.2813,1.3695542,83
559.4666,1.3898194,83
152.0428,1.8210962,83
836.2152,1.8760365,83
681.1983,1.9475423,83
173.0339,2.180735,83
646.1945,2.6570358,83
292.0137,3.5780966,83
119.058,5.3002887,83
166.048,5.6850834,83
465.1064,6.094928,83
70.0426,1.9890964,83
122.0397,2.026301,83
567.1651,2.6476142,83
156.0084,5.0291557,83
138.0404,2.0541208,83
425.2541,2.1856868,83
422.1245,1.5961928,83
708.1901,1.881597,82
207.0226,2.2274632,82
458.1198,2.4643779,82
129.1388,2.6735005,82
1010.3237,3.3408902,82
628.1821,3.3814273,82
207.0172,3.465902,82
388.0285,3.5026953,82
580.9309,4.022525,82
731.9487,4.0630374,82
306.036,5.9539766,82
155.2154,7.0960374,82
262.0556,4.2311835,82
181.885,1.4068658,82
802.8982,4.012585,82
792.0312,3.6237068,82
541.2819,1.3415927,81
252.2059,1.403938,81
374.1225,1.5902717,81
386.1499,1.58379,81
183.0519,1.5945551,81
168.0388,1.633963,81
293.037,1.6389631,81
1064.2725,2.06779,81
355.2367,2.1162593,81
114.1233,2.18316,81
293.0441,2.2663212,81
174.0181,2.2745428,81
473.1756,2.374333,81
669.2436,2.5644689,81
113.9929,3.092494,81
862.2767,3.264222,81
234.0372,4.6820126,81
370.1594,5.2785444,81
135.0249,6.2202964,81
322.0838,3.461296,81
292.0107,3.5535183,81
116.011,4.7069387,81
226.1058,6.5957537,81
224.0271,3.5140486,81
718.3684,2.174469,81
1004.4377,1.3521626,80
741.5291,1.4285254,80
843.5963,1.4969878,80
184.0188,1.6513876,80
336.2214,1.7380499,80
737.5005,2.0912495,80
283.0925,2.1920123,80
726.2423,4.3420753,80
191.0253,4.7795005,80
276.0748,5.3501635,80
245.0258,5.573899,80
307.0829,5.7005386,80
90.1149,2.2195752,80
405.1092,2.461375,80
243.0584,3.0365374,80
158.3754,3.981963,80
746.5056,1.3414624,80
653.2174,2.67995,80
596.1726,1.3345749,80
373.2811,1.46245,80
704.9217,4.0175257,80
944.2572,1.2999499,79
688.1968,1.3261393,79
228.2102,2.0481265,79
177.0137,2.1603794,79
329.2206,2.1277595,79
641.3542,2.1774807,79
123.0332,2.3442028,79
196.0573,2.633038,79
657.2172,6.0349245,79
661.4657,1.4530759,79
104.0124,1.9085697,79
807.1843,1.38481,79
228.0715,5.097468,79
332.0861,1.8787975,79
343.0962,2.2154558,79
